Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Subject_or_Unit_1,Subject_Objective_1,Subject_Description_1,Subject_or_Unit_2,Subject_Objective_2,Subject_Description_2,Subject_or_Unit_3,Subject_Objective_3,Subject_Description_3,Subject_or_Unit_4,Subject_Objective_4,Subject_Description_4,Subject_or_Unit_5,Subject_Objective_5,Subject_Description_5,Subject_or_Unit_6,Subject_Objective_6,Subject_Description_6,Subject_or_Unit_7,Subject_Objective_7,Subject_Description_7,Subject_or_Unit_8,Subject_Objective_8,Subject_Description_8,Subject_or_Unit_9,Subject_Objective_9,Subject_Description_9,Subject_or_Unit_10,Subject_Objective_10,Subject_Description_10,Subject_or_Unit_11,Subject_Objective_11,Subject_Description_11,Subject_or_Unit_12,Subject_Objective_12,Subject_Description_12,Subject_or_Unit_13,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_14,Subject_Objective_14,Subject_Description_14,Subject_or_Unit_15,Subject_Objective_15,Subject_Description_15,Subject_or_Unit_16,Subject_Objective_16,Subject_Description_16,Subject_or_Unit_17,Subject_Objective_17,Subject_Description_17,Subject_or_Unit_18,Subject_Objective_18,Subject_Description_18,Subject_or_Unit_19,Subject_Objective_19,Subject_Description_19,Subject_or_Unit_20,Subject_Objective_20,Subject_Description_20,Subject_or_Unit_21,Subject_Objective_21,Subject_Description_21,Subject_or_Unit_22,Subject_Objective_22,Subject_Description_22,Subject_or_Unit_23,Subject_Objective_23,Subject_Description_23,Subject_or_Unit_24,Subject_Objective_24,Subject_Description_24,Subject_or_Unit_25,Subject_Objective_25,Subject_Description_25,Subject_or_Unit_26,Subject_Objective_26,Subject_Description_26,Subject_or_Unit_27,Subject_Objective_27,Subject_Description_27,Subject_or_Unit_28,Subject_Objective_28,Subject_Description_28,Subject_or_Unit_29,Subject_Objective_29,Subject_Description_29,Subject_or_Unit_30,Subject_Objective_30,Subject_Description_30,Subject_or_Unit_31,Subject_Objective_31,Subject_Description_31,Subject_or_Unit_32,Subject_Objective_32,Subject_Description_32,Subject_or_Unit_33,Subject_Objective_33,Subject_Description_33,Subject_or_Unit_34,Subject_Objective_34,Subject_Description_34,Subject_or_Unit_35,Subject_Objective_35,Subject_Description_35,Subject_or_Unit_36,Subject_Objective_36,Subject_Description_36,Subject_or_Unit_37,Subject_Objective_37,Subject_Description_37,Subject_or_Unit_38,Subject_Objective_38,Subject_Description_38,Subject_or_Unit_39,Subject_Objective_39,Subject_Description_39,Subject_or_Unit_40,Subject_Objective_40,Subject_Description_40
PG,International College of Management Sydney,Sydney,Master of Event Management,Business & Commerce & Finance & Accounting,,,AUD,year,2,Years,yes,no,AQF Level,IELTS,,9,7,,https://www.icms.edu.au/courses/post-graduate/event-management/,English,A,"From business and social events to mega events, concerts and festivals, a professional event manager ensures the success of any event. The ICMS Master of Event Management is designed for working professionals seeking formal qualifications, as well as students seeking exposure to best practice within the event sector. It is a postgraduate degree that aims to develop strategic thinking and conceptual, analytics and current, practical skills. Successful events can result in sustainable social, economic and infrastructure outcomes and are emerging as a key strategy for communities coping with globalisation and the new economy. Underpinning a strong emphasis on the international event sector, the Master of Event Management is designed to develop strategic management skills and knowledge that may be applied to the delivery of events in a range of local, national and global settings.",Associations Manager / Business Development Manager / Conference/Meeting Organiser / Convention Business Development Professional / Destination Marketing Consultant / Event Bidding and Procurement Professional / Event Manager/Director/Producer / Exhibition Coordinator/Manager / Project Manager / Venue Manager / Venue Sales Professional,Australia,yes,yes,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,International College of Management Sydney,Online,Master of Event Management,Business & Commerce & Finance & Accounting,,,AUD,year,2,Years,yes,no,AQF Level,IELTS,,9,7,,https://www.icms.edu.au/courses/post-graduate/event-management/,English,A,"From business and social events to mega events, concerts and festivals, a professional event manager ensures the success of any event. The ICMS Master of Event Management is designed for working professionals seeking formal qualifications, as well as students seeking exposure to best practice within the event sector. It is a postgraduate degree that aims to develop strategic thinking and conceptual, analytics and current, practical skills. Successful events can result in sustainable social, economic and infrastructure outcomes and are emerging as a key strategy for communities coping with globalisation and the new economy. Underpinning a strong emphasis on the international event sector, the Master of Event Management is designed to develop strategic management skills and knowledge that may be applied to the delivery of events in a range of local, national and global settings.",Associations Manager / Business Development Manager / Conference/Meeting Organiser / Convention Business Development Professional / Destination Marketing Consultant / Event Bidding and Procurement Professional / Event Manager/Director/Producer / Exhibition Coordinator/Manager / Project Manager / Venue Manager / Venue Sales Professional,Australia,yes,yes,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,International College of Management Sydney,Sydney,Graduate Certificate in Event Management,Business & Commerce & Finance & Accounting,,,AUD,year,18, Weeks,yes,no,AQF Level,IELTS,,8,7,,https://www.icms.edu.au/courses/post-graduate/graduate-certificate-in-event-management/,English,A,"The Graduate Certificate in Event Management is designed for working professionals seeking a formal qualification, as well as students who wish to develop knowledge and skills relevant to the event sector. This postgraduate qualification is designed to expose students to contemporary event management theories, concepts and skills that are the basis of successful events across a range of economic sectors. Students will learn how to critically interpret and evaluate the impacts, trends and issues associated with event management, as well as how to effectively communicate with a wide range of stakeholders. Upon successful completion of the Graduate Certificate in Event Management, students may be eligible to articulate (enter) into the second semester of the ICMS Master of Event Management.",Conference/Meeting Organiser / Event Manager/Coordinator / Event Bidding and Procurement Professional / Venue Manager / Venue Sales Professional / Exhibition Coordinator/Manager / Business Development Manager / PR/Media Manager for Events.,Australia,yes,yes,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,International College of Management Sydney,Online,Graduate Certificate in Event Management,Business & Commerce & Finance & Accounting,,,AUD,year,18, Weeks,yes,no,AQF Level,IELTS,,8,7,,https://www.icms.edu.au/courses/post-graduate/graduate-certificate-in-event-management/,English,A,"The Graduate Certificate in Event Management is designed for working professionals seeking a formal qualification, as well as students who wish to develop knowledge and skills relevant to the event sector. This postgraduate qualification is designed to expose students to contemporary event management theories, concepts and skills that are the basis of successful events across a range of economic sectors. Students will learn how to critically interpret and evaluate the impacts, trends and issues associated with event management, as well as how to effectively communicate with a wide range of stakeholders. Upon successful completion of the Graduate Certificate in Event Management, students may be eligible to articulate (enter) into the second semester of the ICMS Master of Event Management.",Conference/Meeting Organiser / Event Manager/Coordinator / Event Bidding and Procurement Professional / Venue Manager / Venue Sales Professional / Exhibition Coordinator/Manager / Business Development Manager / PR/Media Manager for Events.,Australia,yes,yes,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,International College of Management Sydney,Sydney,Master of International Business,Business & Commerce & Finance & Accounting,,,AUD,year,2,Years,yes,no,AQF Level,IELTS,,9,7,,https://www.icms.edu.au/courses/post-graduate/international-business/,English,A,"The Master of International Business focuses on increasing understanding of the way in which global businesses function, the challenges they face and the complex environments in which they operate. International organisations expect managers and leaders to demonstrate highly-developed business knowledge, as well as specialised skills in cross cultural management, international finance and strategic planning. These skills are crucial to effective decision making and the sustainable management of an organisation. The course provides advanced, transferable, conceptual and professional skills through a program of student-centred learning and research experience in an industry setting. Students will develop the cutting-edge professional management, communication, analytical and decision-making skills required to make valuable contributions in the international business context.",Regional Managers / Business Strategy and Policy / Corporate Governance / Quality Assurance / Finance / Planning / Business Analyst / Risk Analyst / Value Chain Logistics / Human Resource Management / Sales / Marketing / Consulting.,Australia,yes,yes,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,International College of Management Sydney,Online,Master of International Business,Business & Commerce & Finance & Accounting,,,AUD,year,2,Years,yes,no,AQF Level,IELTS,,9,7,,https://www.icms.edu.au/courses/post-graduate/international-business/,English,A,"The Master of International Business focuses on increasing understanding of the way in which global businesses function, the challenges they face and the complex environments in which they operate. International organisations expect managers and leaders to demonstrate highly-developed business knowledge, as well as specialised skills in cross cultural management, international finance and strategic planning. These skills are crucial to effective decision making and the sustainable management of an organisation. The course provides advanced, transferable, conceptual and professional skills through a program of student-centred learning and research experience in an industry setting. Students will develop the cutting-edge professional management, communication, analytical and decision-making skills required to make valuable contributions in the international business context.",Regional Managers / Business Strategy and Policy / Corporate Governance / Quality Assurance / Finance / Planning / Business Analyst / Risk Analyst / Value Chain Logistics / Human Resource Management / Sales / Marketing / Consulting.,Australia,yes,yes,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,International College of Management Sydney,Sydney,Master of Management,Business & Commerce & Finance & Accounting,,,AUD,year,2,Years,yes,no,AQF Level,IELTS,,9,7,,https://www.icms.edu.au/courses/post-graduate/management/,English,A,"The Master of Management creates business leaders who are ready to take on challenging roles within contemporary organisations across a range of industry sectors. Managers increasingly require a broad set of advanced theoretical knowledge and applied techniques in order to be able to lead organisations through periods of complexity, uncertainty and change. The ICMS Master of Management is a postgraduate degree designed to sharpen your industry knowledge and prepare you for a leadership role. It is a modern business degree that will develop your strategic thinking and conceptual, analytic and practical skills. The course aims to provide highly developed business knowledge and skills that are the basis of responsible leadership, ethical decision-making and the effective management of organisations operating in the private, not-for-profit and public sectors. The Master of Management will not only prepare you for leadership; it will teach you how to work effectively, apply contemporary management practices and demonstrate key management skills and attributes.",General Management / Business strategy and policy / Corporate governance / Quality assurance / Finance / Planning / Business analyst / Operations and logistics / Human resource management / Sales / Marketing and consulting,Australia,yes,yes,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,International College of Management Sydney,Online,Master of Management,Business & Commerce & Finance & Accounting,,,AUD,year,2,Years,yes,no,AQF Level,IELTS,,9,7,,https://www.icms.edu.au/courses/post-graduate/management/,English,A,"The Master of Management creates business leaders who are ready to take on challenging roles within contemporary organisations across a range of industry sectors. Managers increasingly require a broad set of advanced theoretical knowledge and applied techniques in order to be able to lead organisations through periods of complexity, uncertainty and change. The ICMS Master of Management is a postgraduate degree designed to sharpen your industry knowledge and prepare you for a leadership role. It is a modern business degree that will develop your strategic thinking and conceptual, analytic and practical skills. The course aims to provide highly developed business knowledge and skills that are the basis of responsible leadership, ethical decision-making and the effective management of organisations operating in the private, not-for-profit and public sectors. The Master of Management will not only prepare you for leadership; it will teach you how to work effectively, apply contemporary management practices and demonstrate key management skills and attributes.",General Management / Business strategy and policy / Corporate governance / Quality assurance / Finance / Planning / Business analyst / Operations and logistics / Human resource management / Sales / Marketing and consulting,Australia,yes,yes,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,International College of Management Sydney,Sydney,Master of Management (Tourism and Hospitality),Tourism and Hotel Management,,,AUD,year,2,Years,yes,no,AQF Level,IELTS,,9,7,,https://www.icms.edu.au/courses/post-graduate/tourism-hospitality/,English,A,"Learn how to deliver value as an effective leader within a tourism and hospitality organisation through the Master of Management (Tourism and Hospitality). The Master of Management (Tourism and Hospitality) is designed to provide highly developed knowledge of contemporary management theories, concepts and skills as well as an advanced understanding of how Tourism and Hospitality organisations function, the diverse challenges they face and the complex environments in which they operate. This postgraduate degree provides advanced, transferable, conceptual and professional skills through a program of student-centred learning and research experience in an industry setting. You will develop the cutting-edge professional management, communication, analytical and practical decision-making attributes required to make a valuable contribution in the Tourism and Hospitality sector.",Rooms division and front office / Food and beverage management / Accounts and finance / Human resource management / Sales and marketing,Australia,yes,yes,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,International College of Management Sydney,Online,Master of Management (Tourism and Hospitality),Tourism and Hotel Management,,,AUD,year,2,Years,yes,no,AQF Level,IELTS,,9,7,,https://www.icms.edu.au/courses/post-graduate/tourism-hospitality/,English,A,"Learn how to deliver value as an effective leader within a tourism and hospitality organisation through the Master of Management (Tourism and Hospitality). The Master of Management (Tourism and Hospitality) is designed to provide highly developed knowledge of contemporary management theories, concepts and skills as well as an advanced understanding of how Tourism and Hospitality organisations function, the diverse challenges they face and the complex environments in which they operate. This postgraduate degree provides advanced, transferable, conceptual and professional skills through a program of student-centred learning and research experience in an industry setting. You will develop the cutting-edge professional management, communication, analytical and practical decision-making attributes required to make a valuable contribution in the Tourism and Hospitality sector.",Rooms division and front office / Food and beverage management / Accounts and finance / Human resource management / Sales and marketing,Australia,yes,yes,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
